Timestamp,ContainerID,ContainerType,NodeID,SchedulingLatency(ms),Success,ResourceUtilization
2025-05-17T06:49:56Z,container-1747464590521433948,cache,node-1747464590392492696,0.014,true,0.045
2025-05-17T06:49:59Z,container-1747464596439002137,cache,node-1747464590418905051,0.027,true,0.041
2025-05-17T06:50:01Z,container-1747464599196473108,batch,node-1747464590392492696,0.026,true,0.050
2025-05-17T06:50:04Z,container-1747464601837758600,cache,node-1747464590418905051,0.026,false,0.000
2025-05-17T06:50:07Z,container-1747464604040923442,service,node-1747464590418905051,0.025,true,0.033
2025-05-17T06:50:10Z,container-1747464607106562505,service,node-1747464590392492696,0.020,true,0.035
2025-05-17T06:50:12Z,container-1747464610082703060,web,node-1747464590418905051,0.029,true,0.025
2025-05-17T06:50:16Z,container-1747464612706886487,web,node-1747464590392492696,0.018,true,0.022
2025-05-17T06:50:19Z,container-1747464616138842730,search,node-1747464590418905051,0.038,true,0.084
2025-05-17T06:50:21Z,container-1747464619222392220,search,node-1747464590392492696,0.051,false,0.000
2025-05-17T06:50:23Z,container-1747464621592277368,batch,node-1747464590392492696,0.072,false,0.000
2025-05-17T06:50:26Z,container-1747464623898893715,web,node-1747464590392492696,0.025,true,0.032
2025-05-17T06:50:29Z,container-1747464626552942692,cache,node-1747464590418905051,0.021,false,0.000
2025-05-17T06:50:32Z,container-1747464629185011859,web,node-1747464590392492696,0.024,true,0.032
2025-05-17T06:50:36Z,container-1747464632735989325,search,node-1747464590418905051,0.018,false,0.000
2025-05-17T06:50:40Z,container-1747464636009743961,web,node-1747464590392492696,0.048,true,0.019
2025-05-17T06:51:11Z,container-1747464640635620154,web,node-1747464590418905051,0.021,false,0.000
2025-05-17T06:51:14Z,container-1747464671979653384,web,node-1747464590392492696,0.060,true,0.040
2025-05-17T06:51:17Z,container-1747464674696217264,service,node-1747464590418905051,0.025,true,0.019
2025-05-17T06:51:20Z,container-1747464677668026627,cache,node-1747464590392492696,0.039,true,0.038
