Timestamp,ContainerID,ContainerType,NodeID,SchedulingLatency(ms),Success,ResourceUtilization
2025-05-17T06:49:55Z,container-1747464590521080701,web,node-1747464590257557138,0.006,true,0.154
2025-05-17T06:49:59Z,container-1747464595880372497,cache,node-1747464590273902737,0.019,false,0.000
2025-05-17T06:50:03Z,container-1747464599573662189,batch,node-1747464590273902737,0.008,true,0.275
2025-05-17T06:50:05Z,container-1747464603263717318,search,node-1747464590302576996,0.009,true,0.340
2025-05-17T06:50:09Z,container-1747464605867460462,search,node-1747464590317662226,0.007,true,0.208
2025-05-17T06:50:11Z,container-1747464609664844226,cache,node-1747464590257557138,0.013,false,0.000
2025-05-17T06:50:14Z,container-1747464611827321797,search,node-1747464590257557138,0.005,true,0.440
2025-05-17T06:50:17Z,container-1747464614381438499,search,node-1747464590273902737,0.005,true,0.412
2025-05-17T06:50:20Z,container-1747464617348513059,web,node-1747464590257557138,0.007,true,0.081
2025-05-17T06:50:25Z,container-1747464620803232931,web,node-1747464590273902737,0.010,true,0.129
2025-05-17T06:50:28Z,container-1747464625175999337,compute,node-1747464590317662226,0.006,true,0.241
2025-05-17T06:50:32Z,container-1747464628253715010,search,node-1747464590257557138,0.009,true,0.279
2025-05-17T06:50:34Z,container-1747464632742384963,search,node-1747464590273902737,0.008,false,0.000
2025-05-17T06:50:38Z,container-1747464634893088720,batch,node-1747464590257557138,0.006,true,0.326
2025-05-17T06:50:54Z,container-1747464638713598709,batch,node-1747464590317662226,0.007,false,0.000
2025-05-17T06:50:57Z,container-1747464654421065810,cache,node-1747464590257557138,0.005,true,0.141
2025-05-17T06:51:01Z,container-1747464657198273363,cache,node-1747464590273902737,0.072,true,0.166
2025-05-17T06:51:04Z,container-1747464661513061168,cache,node-1747464590257557138,0.016,true,0.144
2025-05-17T06:51:06Z,container-1747464664015578625,database,node-1747464590273902737,0.007,true,0.204
2025-05-17T06:51:09Z,container-1747464666773407025,batch,node-1747464590257557138,0.007,true,0.179
2025-05-17T06:51:12Z,container-1747464669449546897,service,node-1747464590273902737,0.011,true,0.118
2025-05-17T06:51:14Z,container-1747464672093628979,batch,node-1747464590317662226,0.005,true,0.204
2025-05-17T06:51:17Z,container-1747464674798221774,web,node-1747464590257557138,0.008,true,0.103
2025-05-17T06:51:21Z,container-1747464677536682697,compute,node-1747464590317662226,0.007,true,0.196
2025-05-17T06:51:24Z,container-1747464681607621052,web,node-1747464590257557138,0.009,false,0.000
2025-05-17T06:51:26Z,container-1747464684043012441,search,node-1747464590257557138,0.010,true,0.515
2025-05-17T06:51:31Z,container-1747464686797667108,batch,node-1747464590273902737,0.008,true,0.242
2025-05-17T06:51:33Z,container-1747464691061212323,web,node-1747464590257557138,0.007,false,0.000
2025-05-17T06:51:35Z,container-1747464693194527489,service,node-1747464590257557138,0.006,true,0.098
2025-05-17T06:51:38Z,container-1747464695846578923,batch,node-1747464590273902737,0.008,true,0.230
2025-05-17T06:51:42Z,container-1747464698428744001,web,node-1747464590257557138,0.012,true,0.180
2025-05-17T06:51:45Z,container-1747464702092733170,cache,node-1747464590273902737,0.006,true,0.089
2025-05-17T06:51:47Z,container-1747464705371225401,web,node-1747464590257557138,0.010,true,0.168
2025-05-17T06:51:51Z,container-1747464707944366766,search,node-1747464590273902737,0.008,true,0.350
2025-05-17T06:51:53Z,container-1747464711191053076,web,node-1747464590257557138,0.010,false,0.000
2025-05-17T06:51:56Z,container-1747464713471113703,cache,node-1747464590257557138,0.008,false,0.000
2025-05-17T06:51:59Z,container-1747464716247209746,search,node-1747464590257557138,0.005,false,0.000
2025-05-17T06:52:02Z,container-1747464719432544958,cache,node-1747464590257557138,0.010,true,0.097
2025-05-17T06:52:17Z,container-1747464722328247570,web,node-1747464590273902737,0.012,false,0.000
2025-05-17T06:52:20Z,container-1747464737425157708,batch,node-1747464590257557138,0.010,true,0.212
2025-05-17T06:52:22Z,container-1747464740013364217,database,node-1747464590273902737,0.011,true,0.263
2025-05-17T06:52:25Z,container-1747464742704307727,web,node-1747464590257557138,0.013,true,0.150
2025-05-17T06:52:27Z,container-1747464745280515196,web,node-1747464590273902737,0.009,true,0.180
2025-05-17T06:52:30Z,container-1747464747830655546,search,node-1747464590257557138,0.007,true,0.415
2025-05-17T06:52:33Z,container-1747464750544758352,web,node-1747464590273902737,0.005,true,0.105
2025-05-17T06:52:36Z,container-1747464753073423815,search,node-1747464590257557138,0.010,true,0.237
2025-05-17T06:52:39Z,container-1747464756424220987,cache,node-1747464590273902737,0.011,true,0.224
2025-05-17T06:52:43Z,container-1747464759632140617,service,node-1747464590257557138,0.010,true,0.129
2025-05-17T06:52:46Z,container-1747464763178025951,cache,node-1747464590273902737,0.017,true,0.152
2025-05-17T06:52:48Z,container-1747464766072680080,search,node-1747464590257557138,0.010,true,0.435
2025-05-17T06:52:51Z,container-1747464768712011828,cache,node-1747464590273902737,0.007,true,0.103
2025-05-17T06:52:53Z,container-1747464771613724527,web,node-1747464590257557138,0.011,false,0.000
2025-05-17T06:52:57Z,container-1747464773757628464,cache,node-1747464590257557138,0.008,true,0.157
2025-05-17T06:53:00Z,container-1747464777051099747,cache,node-1747464590273902737,0.011,true,0.205
2025-05-17T06:53:03Z,container-1747464780478580147,database,node-1747464590257557138,0.018,true,0.338
2025-05-17T06:53:06Z,container-1747464783536349698,service,node-1747464590273902737,0.010,true,0.090
2025-05-17T06:53:08Z,container-1747464786217211613,web,node-1747464590257557138,0.008,true,0.163
2025-05-17T06:53:11Z,container-1747464788766939885,web,node-1747464590273902737,0.043,true,0.066
2025-05-17T06:53:14Z,container-1747464791953379981,web,node-1747464590257557138,0.009,true,0.156
2025-05-17T06:53:17Z,container-1747464794737239967,compute,node-1747464590317662226,0.007,true,0.268
2025-05-17T06:53:19Z,container-1747464797338650394,cache,node-1747464590257557138,0.007,false,0.000
2025-05-17T06:53:22Z,container-1747464799479055662,service,node-1747464590257557138,0.009,true,0.115
2025-05-17T06:53:25Z,container-1747464802000679848,web,node-1747464590273902737,0.008,true,0.121
2025-05-17T06:53:27Z,container-1747464805008936416,cache,node-1747464590257557138,0.022,true,0.195
2025-05-17T06:53:34Z,container-1747464807666002167,web,node-1747464590273902737,0.010,true,0.143
2025-05-17T07:13:47Z,container-1747464814441379139,web,node-1747464590257557138,0.013,false,0.000
2025-05-17T07:13:47Z,container-1747466027173981325,web,node-1747464590257557138,0.010,false,0.000
2025-05-17T07:13:47Z,container-1747466027540798251,database,node-1747464590257557138,0.006,false,0.000
2025-05-17T07:13:47Z,container-1747466027642513215,web,node-1747464590257557138,0.007,false,0.000
2025-05-17T07:13:47Z,container-1747466027847652166,compute,node-1747464590317662226,0.006,false,0.000
2025-05-17T07:13:48Z,container-1747466027966995228,cache,node-1747464590257557138,0.007,false,0.000
